LINE 227 : 2021-04-20 14:52:36,454 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 1337: 2021-04-20 14:52:42,402 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,402 [DEBUG   ] findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,402 [DEBUG   ] findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,402 [DEBUG   ] findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,402 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,402 [DEBUG   ] findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,402 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,402 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-BoldOblique.ttf) oblique normal 700 normal>) = 1.05
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-BoldOblique.ttf) oblique normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'EB Garamond Initials' (EBGaramond-Initials.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Noto Serif Kannada' (NotoSerifKannada-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Noto Sans Brahmi' (NotoSansBrahmi-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Universalis ADF Std' (UniversalisADFStd-Italic.otf) italic normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Noto Sans Pau Cin Hau' (NotoSansPauCinHau-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Noto Sans Mayan Numerals' (NotoSansMayanNumerals-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Go Smallcaps' (Go-Smallcaps-Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Noto Sans CJK JP' (NotoSansCJK-Bold.ttc) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Mukti Narrow' (MuktiNarrowBold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Loma' (Loma.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Lato' (Lato-MediumItalic.ttf) italic normal 500 normal>) = 11.24
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'GFS Neohellenic' (GFSNeohellenic.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-ExtraLight.ttf) normal normal 200 normal>) = 0.525
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Purisa' (Purisa-Bold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,403 [DEBUG   ] findfont: score(<Font 'Meera' (Meera-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Rasa' (Rasa-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Berenis ADF Pro' (BerenisADFPro-Bold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Noto Sans Modi' (NotoSansModi-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'UnPilgia' (UnPilgia.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Noto Sans Gothic' (NotoSansGothic-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'FontAwesome' (FontAwesome.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'TeX Gyre Cursor' (texgyrecursor-bold.otf) normal normal 700 normal>) = 10.05
